date,Subject,UID,Protocol,run,time,totalResps,rightResps,leftResps,totalRate,leftRate,rightRate,total_incorrect,left_incorrect,right_incorrect,prop_lc,prop_rc,RR_prp,RL_prp,LR_prp,LL_prp
,,,,,,,,,,,,,,,,,,,,
92317,BA1653,EF,4,1,654.26,521,315,206,47.779,18.892,28.888,34,3,31,0.006,0.06,120.718,240.59,235.585,302.644
92417,BA1653,EF,4,2,864.46,567,350,217,39.354,15.061,24.293,58,4,54,0.007,0.095,236.915,253.201,265.7,260.907
092317,BA1653,AB,4,1,654.26,521,315,206,47.779,18.892,28.888,34,3,31,0.006,0.06,119.217948718,239.08962963,234.084615385,301.143703704
092417,BA1653,AB,4,2,864.46,567,350,217,39.354,15.061,24.293,58,4,54,0.007,0.095,235.415348837,251.701428571,264.200155039,259.407142857
092517,BA1653,AB,4,3,661.62,655,424,231,59.4,20.949,38.451,98,10,88,0.015,0.134,-33.671625,285.0735,5.07833333333,310.5915
092617,BA1653,AB,4,4,837.34,550,334,216,39.411,15.478,23.933,47,1,46,0.002,0.084,317.135229358,297.390909091,309.888623853,313.514545455

092317,BA1653,BL,2,1,654.26,521,315,206,47.779,18.892,28.888,34,3,31,0.006,0.06,119.217948718,239.08962963,234.084615385,301.143703704
092417,BA1653,BL,2,2,864.46,567,350,217,39.354,15.061,24.293,58,4,54,0.007,0.095,235.415348837,251.701428571,264.200155039,259.407142857
092517,BA1653,BL,2,3,661.62,655,424,231,59.4,20.949,38.451,98,10,88,0.015,0.134,-33.671625,285.0735,5.07833333333,310.5915
092617,BA1653,BL,2,4,837.34,550,334,216,39.411,15.478,23.933,47,1,46,0.002,0.084,317.135229358,297.390909091,309.888623853,313.514545455
092817,BA1653,BL,2,5,644.98,695,491,204,64.653,18.977,45.676,9,0,9,0.0,0.013,246.121538462,164.292380952,366.066666667,249.033333333

092317,BA1653,BL,2,1,654.26,521,315,206,47.779,18.892,28.888,34,3,31,0.006,0.06,119.217948718,239.08962963,234.084615385,301.143703704
092417,BA1653,BL,2,2,864.46,567,350,217,39.354,15.061,24.293,58,4,54,0.007,0.095,235.415348837,251.701428571,264.200155039,259.407142857
092517,BA1653,BL,2,3,661.62,655,424,231,59.4,20.949,38.451,98,10,88,0.015,0.134,-33.671625,285.0735,5.07833333333,310.5915
092617,BA1653,BL,2,4,837.34,550,334,216,39.411,15.478,23.933,47,1,46,0.002,0.084,317.135229358,297.390909091,309.888623853,313.514545455
092817,BA1653,BL,2,5,644.98,695,491,204,64.653,18.977,45.676,9,0,9,0.0,0.013,246.121538462,164.292380952,366.066666667,249.033333333
092917,BA1653,BL,2,6,732.06,695,483,212,56.963,17.376,39.587,3,3,0,0.004,0.0,315.731,170.671851852,411.649,294.057777778
093017,BA1653,BL,2,7,786.98,724,500,224,55.198,17.078,38.12,12,12,0,0.017,0.0,324.097,295.029777778,400.716,433.259111111

092317,BA1653,AC,4,1,654.26,521,315,206,47.779,18.892,28.888,34,3,31,0.006,0.06,119.217948718,239.08962963,234.084615385,301.143703704
092417,BA1653,AC,4,2,864.46,567,350,217,39.354,15.061,24.293,58,4,54,0.007,0.095,235.415348837,251.701428571,264.200155039,259.407142857
092517,BA1653,AC,4,3,661.62,655,424,231,59.4,20.949,38.451,98,10,88,0.015,0.134,-33.671625,285.0735,5.07833333333,310.5915
092617,BA1653,AC,4,4,837.34,550,334,216,39.411,15.478,23.933,47,1,46,0.002,0.084,317.135229358,297.390909091,309.888623853,313.514545455
092817,BA1653,AC,4,5,644.98,695,491,204,64.653,18.977,45.676,9,0,9,0.0,0.013,246.121538462,164.292380952,366.066666667,249.033333333
092917,BA1653,AC,4,6,732.06,695,483,212,56.963,17.376,39.587,3,3,0,0.004,0.0,315.731,170.671851852,411.649,294.057777778
093017,BA1653,AC,4,7,786.98,724,500,224,55.198,17.078,38.12,12,12,0,0.017,0.0,324.097,295.029777778,400.716,433.259111111
100117,BA1653,AC,4,8,1376.74,1287,924,363,56.089,15.82,40.269,72,72,0,0.056,0.0,636.391428571,-111.600506329,717.584761905,507.849125
100217,BA1653,AC,4,9,1235.5,1201,904,297,58.325,14.423,43.901,43,43,0,0.036,0.0,540.615238095,76.4166666667,618.312380952,434.144705882
100317,BA1653,AC,4,10,1035.24,1279,912,367,74.128,21.27,52.857,77,77,0,0.06,0.0,485.915454545,-108.624625,526.942727273,406.104137931

092317,BA1653,AC,4,1,654.26,521,315,206,47.779,18.892,28.888,34,3,31,0.006,0.06,119.217948718,239.08962963,234.084615385,301.143703704
092417,BA1653,AC,4,2,864.46,567,350,217,39.354,15.061,24.293,58,4,54,0.007,0.095,235.415348837,251.701428571,264.200155039,259.407142857
092517,BA1653,AC,4,3,661.62,655,424,231,59.4,20.949,38.451,98,10,88,0.015,0.134,-33.671625,285.0735,5.07833333333,310.5915
092617,BA1653,AC,4,4,837.34,550,334,216,39.411,15.478,23.933,47,1,46,0.002,0.084,317.135229358,297.390909091,309.888623853,313.514545455
092817,BA1653,AC,4,5,644.98,695,491,204,64.653,18.977,45.676,9,0,9,0.0,0.013,246.121538462,164.292380952,366.066666667,249.033333333
092917,BA1653,AC,4,6,732.06,695,483,212,56.963,17.376,39.587,3,3,0,0.004,0.0,315.731,170.671851852,411.649,294.057777778
093017,BA1653,AC,4,7,786.98,724,500,224,55.198,17.078,38.12,12,12,0,0.017,0.0,324.097,295.029777778,400.716,433.259111111
100117,BA1653,AC,4,8,1376.74,1287,924,363,56.089,15.82,40.269,72,72,0,0.056,0.0,636.391428571,-111.600506329,717.584761905,507.849125
100217,BA1653,AC,4,9,1235.5,1201,904,297,58.325,14.423,43.901,43,43,0,0.036,0.0,540.615238095,76.4166666667,618.312380952,434.144705882
100317,BA1653,AC,4,10,1035.24,1279,912,367,74.128,21.27,52.857,77,77,0,0.06,0.0,485.915454545,-108.624625,526.942727273,406.104137931
