date,runnum,FR25_Resp,FR100_Resp,FR25_rfr,FR100_rfr,FR25_Time,FR100_Time,FR25_Unobs,FR100_Unobs,p_BO|FR25,p_BO|FR100
12/28/17,2,1568.0,1719.0,61.0,16.0,9000.0,9000.0,0.0,0.0,0.0,0.0
12/29/17,3,1700.0,1770.0,66.0,16.0,9000.0,9000.0,0.0,0.0,0.0,0.0
12/30/17,4,1795.0,1690.0,70.0,15.0,8649.0,9000.0,1.0,3.0,0.0115620302925,0.0333333333333
12/31/17,5,1876.0,1645.0,75.0,15.0,8440.0,9000.0,0.0,3.0,0.0,0.0333333333333
01/01/18,6,1846.0,1599.0,73.0,15.0,8637.0,9000.0,0.0,4.0,0.0,0.0444444444444
01/02/18,7,1827.0,1743.0,73.0,16.0,8407.0,9000.0,0.0,2.0,0.0,0.0222222222222
01/04/18,8,1742.0,1442.0,67.0,12.0,8903.0,9000.0,0.0,2.0,0.0,0.0222222222222
01/05/18,9,1821.0,1256.0,72.0,11.0,8362.0,9000.0,0.0,3.0,0.0,0.0333333333333
01/06/18,10,1595.0,1366.0,61.0,11.0,9000.0,9000.0,0.0,2.0,0.0,0.0222222222222
01/07/18,11,1743.0,1505.0,68.0,14.0,8787.0,9000.0,0.0,2.0,0.0,0.0222222222222
01/08/18,12,1591.0,1305.0,62.0,9.0,8963.0,9000.0,0.0,1.0,0.0,0.0111111111111
01/09/18,13,1813.0,1155.0,72.0,5.0,8887.0,9000.0,0.0,2.0,0.0,0.0222222222222
01/10/18,14,1719.0,1725.0,68.0,10.0,8522.0,9000.0,0.0,1.0,0.0,0.0111111111111
01/11/18,15,1822.0,1191.0,72.0,7.0,8488.0,9000.0,0.0,4.0,0.0,0.0444444444444
01/12/18,16,1652.0,894.0,64.0,3.0,8914.0,9000.0,0.0,4.0,0.0,0.0444444444444
01/13/18,17,1772.0,947.0,69.0,4.0,8864.0,9000.0,0.0,4.0,0.0,0.0444444444444
