date,fr,runnum,pellets,fr_irt,uor_irt,uol_irt,fr_resps,uo_resps,resps,r_SR,fr_rate,uo_total,prp,fr_prp,uo_prp,fr_total_Rate
09/30/17,25,1,75,0.48,113.195,2.838,1875,51,1926,25.68,130.148,4,4.084,4.228,1.528,96.229
10/01/17,25,2,75,0.487,0.0,0.0,1875,0,1875,25.0,128.261,0,9.284,9.284,,71.67
10/02/17,25,3,75,0.448,0.0,0.0,1875,2,1877,25.027,139.428,1,2.806,2.767,5.66,111.195
10/03/17,25,4,75,0.88,196.347,230.824,1875,24,1899,25.32,71.063,7,17.399,17.607,15.286,39.535
10/04/17,25,5,75,0.41,0.0,0.0,1875,0,1875,25.0,152.346,0,3.868,3.868,,108.997
10/05/17,25,6,75,0.403,0.0,0.0,1875,0,1875,25.0,155.104,0,2.511,2.511,,123.123
10/06/17,25,7,75,0.376,0.0,0.0,1875,0,1875,25.0,166.373,0,3.055,3.055,,124.454
10/07/17,25,8,75,0.36,0.0,0.0,1875,0,1875,25.0,173.437,0,1.944,1.944,,141.741
10/08/17,25,9,75,0.349,0.0,0.0,1875,0,1875,25.0,179.015,0,1.876,1.876,,146.532
10/09/17,25,10,75,0.377,0.0,0.0,1875,0,1875,25.0,165.729,0,3.11,3.11,,123.685
10/10/17,25,11,75,0.316,0.0,0.0,1875,0,1875,25.0,197.639,0,1.59,1.59,,163.441
10/11/17,50,12,75,0.363,0.0,0.0,3750,0,3750,50.0,168.854,0,2.271,2.271,,149.816
10/12/17,50,13,75,0.351,0.0,0.0,3750,0,3750,50.0,174.628,0,2.472,2.472,,152.92
10/13/17,50,14,75,0.334,0.0,0.25,3750,4,3754,50.053,183.54,2,2.323,2.302,3.065,161.608
10/14/17,50,15,75,0.361,0.0,0.0,3750,0,3750,50.0,169.814,0,2.54,2.54,,148.522
10/15/17,50,16,75,0.378,0.0,0.0,3750,0,3750,50.0,162.012,0,2.487,2.487,,142.92
10/16/17,50,17,75,0.407,0.0,0.0,3750,0,3750,50.0,150.605,0,2.572,2.572,,133.55
10/17/17,50,18,75,0.417,0.0,0.0,3750,0,3750,50.0,146.682,0,2.638,2.638,,129.688
10/18/17,75,19,75,0.441,0.0,0.0,5625,0,5625,75.0,137.979,0,2.96,2.96,,126.613
10/19/17,75,20,75,0.423,0.0,0.672,5625,13,5638,75.173,143.678,1,3.682,3.696,2.66,128.388
10/21/17,75,21,75,0.387,0.0,0.0,5625,0,5625,75.0,157.147,0,3.469,3.469,,140.09
10/22/17,75,22,75,0.407,0.0,0.0,5625,0,5625,75.0,149.543,0,6.488,6.488,,123.088
10/23/17,75,23,75,0.378,0.0,0.0,5625,0,5625,75.0,160.983,0,3.529,3.529,,143.059
10/24/17,75,24,75,0.373,0.0,0.0,5625,0,5625,75.0,162.989,0,3.137,3.137,,145.954
10/25/17,75,25,75,0.356,0.0,0.0,5625,0,5625,75.0,170.615,0,2.944,2.944,,153.372
10/26/17,75,26,75,0.37,0.0,0.0,5625,0,5625,75.0,164.399,0,2.824,2.824,,148.786
10/27/17,100,27,75,0.398,0.0,0.0,7500,1,7501,100.013,152.45,1,8.216,8.279,3.59,126.177
10/28/17,100,28,75,0.401,0.0,0.0,7500,2,7502,100.027,150.993,2,5.315,5.353,3.965,132.493
10/29/17,100,29,75,0.394,656.187,1021.955,7500,11,7511,100.147,153.831,6,12.025,12.306,8.793,118.87
10/30/17,100,30,75,0.363,458.072,307.805,7500,26,7526,100.347,166.788,11,8.233,8.673,5.333,137.508
10/31/17,100,31,75,0.4,264.12,159.206,7500,23,7523,100.307,151.477,9,6.184,6.038,7.394,132.601
11/01/17,100,32,75,0.406,757.687,454.842,7500,15,7515,100.2,149.195,7,8.167,7.923,10.571,125.848
11/02/17,100,33,75,0.432,0.0,796.61,7500,8,7508,100.107,140.245,4,8.901,8.974,7.603,116.609
11/03/17,150,34,40,0.412,1154.73,460.612,6000,17,6017,150.425,146.533,10,16.385,17.0,13.309,117.964
11/04/17,150,35,4,1.334,0.0,0.0,609,3,612,153.0,45.357,2,50.317,71.912,7.125,33.423
11/05/17,150,36,1,13.505,0.0,0.0,188,1,189,189.0,4.491,1,100.215,185.37,15.06,4.181
11/06/17,100,37,1,2.85,0.0,0.0,3,0,3,3.0,31.579,0,,,,23.747
11/07/17,100,38,1,5.108,0.0,0.0,71,0,71,71.0,11.914,0,,,,9.954
11/09/17,100,39,4,2.2,0.0,0.0,433,6,439,109.75,27.597,5,156.458,231.81,5.755,13.831
11/10/17,100,40,1,18.368,215.651,0.0,6,24,30,30.0,3.92,16,52.12,,52.12,3.92
11/11/17,100,41,1,2.958,0.0,0.0,112,6,118,118.0,20.655,6,42.777,94.98,16.675,15.987
