date,fr,runnum,pellets,fr_irt,uor_irt,uol_irt,fr_resps,uo_resps,resps,r_SR,fr_rate
09/30/17,25,1,75,0.854,0.0,19.789,1875,103,1978,27.73,70.218
10/01/17,25,2,75,0.8,0.0,28.88,1875,52,1927,27.041,75.003
10/02/17,25,3,75,0.745,0.0,0.0,1875,3,1878,26.378,80.523
10/03/17,25,4,75,0.678,0.0,0.0,1875,0,1875,26.338,88.469
10/04/17,25,5,75,0.64,0.0,0.0,1875,3,1878,26.378,93.757
10/05/17,25,6,75,0.612,0.0,0.0,1875,0,1875,26.338,98.096
10/06/17,25,7,75,0.534,0.0,0.0,1875,0,1875,26.338,112.309
10/07/17,25,8,75,0.495,0.0,0.0,1875,0,1875,26.338,121.303
10/08/17,25,9,75,0.515,0.0,0.0,1875,0,1875,26.338,116.461
10/09/17,25,10,75,0.538,0.0,0.0,1875,0,1875,26.338,111.477
10/10/17,25,11,75,0.558,0.0,0.0,1875,0,1875,26.338,107.463
10/11/17,50,12,75,0.625,0.0,0.0,3750,2,3752,51.703,96.067
10/12/17,50,13,75,0.542,0.0,0.0,3750,0,3750,51.676,110.798
10/13/17,50,14,75,0.543,0.0,0.0,3750,0,3750,51.676,110.415
10/14/17,50,15,75,0.476,0.0,0.0,3750,0,3750,51.676,126.077
10/15/17,50,16,75,0.51,0.0,0.0,3750,0,3750,51.676,117.535
10/16/17,50,17,75,0.478,0.0,0.0,3750,0,3750,51.676,125.463
10/17/17,50,18,75,0.535,0.0,0.0,3750,0,3750,51.676,112.189
10/18/17,75,19,75,0.548,0.0,0.0,5625,0,5625,77.014,109.512
10/19/17,75,20,75,0.668,0.0,0.0,5625,0,5625,77.014,89.796
10/21/17,75,21,75,0.692,0.0,0.0,5625,2,5627,77.041,86.731
10/22/17,75,22,75,0.595,0.0,0.0,5625,3,5628,77.054,100.77
10/23/17,75,23,75,0.541,0.0,0.0,5625,0,5625,77.014,110.95
